id,name,address,searchAddress,source
good-price-z2muqb,용대박,"서울특별시 용산구 원효로83길 13-5 101, 102호",서울특별시 용산구 원효로83길 13-5 101,착한가격업소
good-price-1aqe5fc,라인미용실,서울특별시 용산구 원효로42길 38-36 (용문동),서울특별시 용산구 원효로42길 38-36,착한가격업소
good-price-gmmjq4,참존이발,"서울특별시 용산구 보광 29, 1층 (보광동)",서울특별시 용산구 보광 29,착한가격업소
good-price-7uy8xy,세븐미용실,서울특별시 강북구 삼양로38길 14,서울특별시 강북구 삼양로38길 14,착한가격업소
good-price-32bcpm,현대세탁,서울특별시 노원구 중계로 230 주공5단지 2상가 102호 현대세탁소,서울특별시 노원구 중계로 230 주공5단지 2상가 102호 현대세탁소,착한가격업소
good-price-yfwkz1,다다다헤어,서울특별시 은평구 은암로 28길 36 (응암동) 101호,서울특별시 은평구 은암로 28길 36 101호,착한가격업소
good-price-1avm9qi,이펜세탁소,서울특별시 구로구 천왕로10 천왕이펜하우스 58단지 상가 101호,서울특별시 구로구 천왕로10 천왕이펜하우스 58단지 상가 101호,착한가격업소
good-price-9i9rec,원이랑 아구찜,서울특별시 구로구 구로굴 개봉로 18길 16 1층,서울특별시 구로구 구로굴 개봉로 18길 16 1층,착한가격업소
good-price-dfusoe,김포세탁소,서울특별시 동작구 서달로10길 40,서울특별시 동작구 서달로10길 40,착한가격업소
good-price-gqs1t3,엄청난 미용실,서울특별시 동작구 장승배기로19길 23,서울특별시 동작구 장승배기로19길 23,착한가격업소
good-price-1rjzhfb,조현호미용실,서울특별시 동작구 현충로14길 8,서울특별시 동작구 현충로14길 8,착한가격업소
good-price-x9xmu5,째즈�,서울특별시 동작구 동작대로 11길 87 1F,서울특별시 동작구 동작대로 11길 87 1F,착한가격업소
good-price-13vcvk7,브레드_히어,서울특별시 강남구 양재대로33갈 24 1충,서울특별시 강남구 양재대로33갈 24 1충,착한가격업소
good-price-7q5e2j,백년국수,"서울특별시 강동구 천호대로176길 3, 1층 (성내동, 태화빌딩)",서울특별시 강동구 천호대로176길 3,착한가격업소
good-price-lb0c9g,학마을,부산광역시 중구 중굴 29번길 7 (부평동1가),부산광역시 중구 중굴 29번길 7 (부평동1가),착한가격업소
good-price-ikh0dt,옛날전통추어탕,부산광역시 남구 쳔제등로 37번길 11 (대연동),부산광역시 남구 쳔제등로 37번길 11,착한가격업소
good-price-1woswpj,비쥬얼박스,"부산광역시 남구 시 남구 용소로38-1, 2층 (대연동)",부산광역시 남구 시 남구 용소로38-1,착한가격업소
good-price-7ug8z5,김밥왕국,부산광역시?해운대구?윗반송로 151,부산광역시?해운대구?윗반송로 151,착한가격업소
good-price-e248wr,한우공장(다대동),"부산광역시 사하구 운공단로14번길 80, 1층 (다대동)",부산광역시 사하구 운공단로14번길 80,착한가격업소
good-price-1iiahre,동경생돈까스,부산광역시 금정구 중앙대로279번길 6 (장전동),부산광역시 금정구 중앙대로279번길 6,착한가격업소
good-price-fo482v,골드헤어라인,부산광역시 강서구 신호산단4로64번길 23 (신호동),부산광역시 강서구 신호산단4로64번길 23,착한가격업소
good-price-zceajh,미식천국,부산광역시 연제구 87번길 57 38 (연산동),부산광역시 연제구 87번길 57 38,착한가격업소
good-price-1yf99p1,원些레�,부산광역시 사상구 냉정로 115 1층 원些레� (주례동),부산광역시 사상구 냉정로 115 1층 원些레�,착한가격업소
good-price-pmkc7,통영바다장어,부산광역시 사상구 강선로12번길 47 (덕포동),부산광역시 사상구 강선로12번길 47,착한가격업소
good-price-80za0l,소향갈비탕,부산광역시 기장군 기장읍 차성남로 51번길 17,부산광역시 기장군 기장읍 차성남로 51번길 17,착한가격업소
good-price-12vk27k,할매가마솥국밥,대구광역시 남구 이천로 48,대구광역시 남구 이천로 48,착한가격업소
good-price-1i2km7a,아이워즈그린,대구광역시 남구 봉덕로9길 71,대구광역시 남구 봉덕로9길 71,착한가격업소
good-price-1xocwql,굿미용실,대구광역시 달서구 한실로45 (도원동)8단지상가 110호,대구광역시 달서구 한실로45 8단지상가 110호,착한가격업소
good-price-1j38ot0,서민숯불,대구광역시 군위군 군위읍 중앙5길 8031,대구광역시 군위군 군위읍 중앙5길 8031,착한가격업소
good-price-1eas3cz,국제당구장,"인천광역시 연수구 앵고개로264번길 39-5, 4층 (동춘동)",인천광역시 연수구 앵고개로264번길 39-5,착한가격업소
good-price-1cazvxr,서석식당,광주광역시 동구 백서로 171 (서석동),광주광역시 동구 백서로 171,착한가격업소
good-price-zs2cxe,머리사랑미용실,대전광역시 서구 계롱로354번길13 (갈마동),대전광역시 서구 계롱로354번길13,착한가격업소
good-price-15wgy3o,잔치분식,울산광역시 남구 수암로184번길 41-1 (야음동),울산광역시 남구 수암로184번길 41-1,착한가격업소
good-price-1q3je4d,산청옹기골 얼음막걸리,울산광역시 울주군 온산읍 신호7길 63,울산광역시 울주군 온산읍 신호7길 63,착한가격업소
good-price-grps9s,예전각전복설렁탕,"경기도 수원시 장안구 경수대로 816 1, 2층 (영화동)",경기도 수원시 장안구 경수대로 816 1,착한가격업소
good-price-19nihgp,백천홍두깨칼국수,경기도 수원시 팔달구 수원천로 264번길 21-11,경기도 수원시 팔달구 수원천로 264번길 21-11,착한가격업소
good-price-1r8oxld,에스커피,"경기도 수원시 팔달구 정조로758번길 9 (팔달로3가) 1, 2호",경기도 수원시 팔달구 정조로758번길 9 (팔달로3가) 1,착한가격업소
good-price-1006j7a,박행님헤어샵,"경기도 수원시 팔달구 정조로 797-2 (팔달로2가) 101, 102호",경기도 수원시 팔달구 정조로 797-2 (팔달로2가) 101,착한가격업소
good-price-1w7em44,한국커피,경기도 용인시 기흥구 관곡로85번길 9 (구갈동) 104-2,경기도 용인시 기흥구 관곡로85번길 9 104-2,착한가격업소
good-price-8t7qa9,명주골,"경기도 용인시 기흥구 보정동 117, 120호",경기도 용인시 기흥구 보정동 117,착한가격업소
good-price-6emc8l,임진옥헤어파티,경기도 용인시 처인구 포곡읍 금어로 76,경기도 용인시 처인구 포곡읍 금어로 76,착한가격업소
good-price-kaon9w,반하정 수지본점,경기도 용인시 수지구 만현로 88 (상현동) 120~121호,경기도 용인시 수지구 만현로 88 120~121호,착한가격업소
good-price-iuyfjm,강원도위가열탄불고기,경기도 용인시 처인구 양지면 남평로 76-4,경기도 용인시 처인구 양지면 남평로 76-4,착한가격업소
good-price-1mmao66,주막골 숯불 돼지갈비 삼겹살,경기도 성남시 중원구 금상로 108길 10,경기도 성남시 중원구 금상로 108길 10,착한가격업소
good-price-1c9d5sa,오프(OFF),경기도 성남시 분당구 판교로 255번길 9-2,경기도 성남시 분당구 판교로 255번길 9-2,착한가격업소
good-price-7cb0y6,동화루,"경기도 화성시 봉담읍 동화길 93-6 101, 102호 (지존타워)",경기도 화성시 봉담읍 동화길 93-6 101,착한가격업소
good-price-9495mm,동양이용원,경기도 안산시 단원구 선부광장1로 10 (선부동) 201-1호,경기도 안산시 단원구 선부광장1로 10 201-1호,착한가격업소
good-price-1c071yr,전주시골순대국,"경기도 안산시 단원구 고잔1길 76 (고잔동) 109, 110호",경기도 안산시 단원구 고잔1길 76 109,착한가격업소
good-price-1osrhne,온다젤라또 본오점,경기도 안산시 상록구 샘골로 119 (본오동) 106-7호,경기도 안산시 상록구 샘골로 119 106-7호,착한가격업소
good-price-w78kcn,슬베이커리,"경기도 안산시 단원구 예술광장로 1, 3층",경기도 안산시 단원구 예술광장로 1,착한가격업소
good-price-1eew0hb,꽃게담다by 블리베리팜 배곧점,"경기도 시흥시 서울대학로264번길 26-32 (배곧동) 115, 116호",경기도 시흥시 서울대학로264번길 26-32 115,착한가격업소
good-price-1bahkq6,어부파스타,"경기도 시흥시 은계번영길 40 (은행동) 204, 205호",경기도 시흥시 은계번영길 40 204,착한가격업소
good-price-t0qhz1,우각골 한우곰탕,"경기도 시흥시 월곶중앙로 38 102, 103, 104, 105, 106호",경기도 시흥시 월곶중앙로 38 102,착한가격업소
good-price-n42s3m,은하수세탁소,"경기도 의정부시 장곡로 35, 상가동 103호",경기도 의정부시 장곡로 35,착한가격업소
good-price-1kk2cl0,원미용실,경기도 의정부시 동일로506번길 64 9신곡동),경기도 의정부시 동일로506번길 64 9신곡동),착한가격업소
good-price-5qxi6h,수나헤어,"경기도 김포시 고촌읍 수기로 136 (캐슬앤파밀리에시티 2단지) 2단지 상가 (212동 방면, 118호)",경기도 김포시 고촌읍 수기로 136 (캐슬앤파밀리에시티 2단지) 2단지 상가 (212동 방면,착한가격업소
good-price-1nvhesk,가위나라,경기도 광주시 벌월길 75-4,경기도 광주시 벌월길 75-4,착한가격업소
good-price-t093hz,태양이발관,경기도 양주시 은현면 은현로 58,경기도 양주시 은현면 은현로 58,착한가격업소
good-price-1st0b91,1231 구뜰순대국,"경기도 양주시 회정로 101 (덕정동) 101, 102호",경기도 양주시 회정로 101 101,착한가격업소
good-price-odingh,소정미용실,"경기도 과천시 별양로 166, 삼성종합상가 2층",경기도 과천시 별양로 166,착한가격업소
good-price-oml4mu,22번가 미용실,경기도 과천시 관문로 130 1단지 종합상가2층 221-2호,경기도 과천시 관문로 130 1단지 종합상가2층 221-2호,착한가격업소
good-price-1kr7typ,할마이시래국밥,경기도 연천군 연천읍 연천로 260번길 9-31,경기도 연천군 연천읍 연천로 260번길 9-31,착한가격업소
good-price-101892x,장군닭갈비,강원특별자치도 춘천시 춘추로147번길 12-6 (퇴계동),강원특별자치도 춘천시 춘추로147번길 12-6,착한가격업소
good-price-b5hy0m,청솔보리밥,강원특별자치도 원주시 판부면 용수골 185,강원특별자치도 원주시 판부면 용수골 185,착한가격업소
good-price-p5si6a,"온다, 동해","강원특별자치도 동해시 일출로 151 (묵호진동) 2, 3호",강원특별자치도 동해시 일출로 151 2,착한가격업소
good-price-1moweby,백연농가,강원특별자치도 영월군 상동웁 덕구로 763,강원특별자치도 영월군 상동웁 덕구로 763,착한가격업소
good-price-15gn12j,찬찬헤어,강원특별자치도 영월군 영월읍 관풍헌로 26,강원특별자치도 영월군 영월읍 관풍헌로 26,착한가격업소
good-price-1w9h0ib,주중이발관,충청북도 청주시 상당구 대성로 169-5 (수동),충청북도 청주시 상당구 대성로 169-5,착한가격업소
good-price-khzgia,성서옷수선,충청북도 충주시 성서1길63,충청북도 충주시 성서1길63,착한가격업소
good-price-49e6ho,사랑이용원,충청북도 충주시 연원5길 59 (연수동),충청북도 충주시 연원5길 59,착한가격업소
good-price-435bs1,안남식당,충청북도 옥천군 올갱이국,충청북도 옥천군 올갱이국,착한가격업소
good-price-slf0ax,오천년코다리,충청북도 옥천군 코다리조림 (1인),충청북도 옥천군 코다리조림 (1인),착한가격업소
good-price-1g2cdyu,옥천 칠성순대집,충청북도 옥천군 순대국밥,충청북도 옥천군 순대국밥,착한가격업소
good-price-60dqpn,이원사회적협동조합 이원주민쉼터 내일로,충청북도 옥천군 아메리카노,충청북도 옥천군 아메리카노,착한가격업소
good-price-1m1aln7,조일이용원,충청북도 옥천군 조발 (커트),충청북도 옥천군 조발 (커트),착한가격업소
good-price-1l28f5z,주현갈비,충청북도 옥천군 갈비,충청북도 옥천군 갈비,착한가격업소
good-price-1xdhz53,행복정육식당,충청북도 옥천군 한우국밥,충청북도 옥천군 한우국밥,착한가격업소
good-price-5z3auh,동네밥집,충청북도 진천군 광혜원면 화랑6길 8,충청북도 진천군 광혜원면 화랑6길 8,착한가격업소
good-price-1erwjw4,엄마손밥상,충청북도 음성군 금왕읍 금석로 65-4,충청북도 음성군 금왕읍 금석로 65-4,착한가격업소
good-price-17h8a0,깨돌이김밥,"충청남도 천안시 서북구 각원사길 52, 104호 (안서동)",충청남도 천안시 서북구 각원사길 52,착한가격업소
good-price-1rftpwv,굿맨컷,충청남도 아산시 시민로 370-1,충청남도 아산시 시민로 370-1,착한가격업소
